show_id,director_name
47896,Charles Quinio
41535,Wong Jing
95547,Colin Ferguson
57521,Agustí Villaronga
50845,Bertrand Blier
430783,Olli Saarela
147943,Satoshi Kaneda
37058,Spike Jonze
76216,Yoshihiro Nishimura
48763,Hakan Algül
46953,Hannes Holm
41490,Jeffrey Lau Chun-wai
67198,Shane Dax Taylor
62156,Roberto Santucci
103510,Yūichi Abe
34592,Kevin Hamedani
63064,Li Yu
51409,Julie Bertuccelli
44245,Derek Yee Tung-Sing
69406,Jonathan Nossiter
153779,Shahriar Bahrani
145132,Dean Bennett
42882,Carlo Vanzina
61591,Koji Masunari
45371,Richard Loncraine
273279,Alain Berliner
31035,Hans Petter Moland
54527,Michael Madsen
42171,Josh Appignanesi
41520,Daniel Filho
55151,Radu Muntean
44737,Thomas Balmès
56815,Pablo Larraín
34777,Dennis Law
54524,Benjamin Heisenberg
40601,Nick Wickham
40601,Nick Levitt
47992,Kenneth Bi
52414,You Sun-dong
45022,Kevin Asch
39446,Tom McLoughlin
51499,Ed Burke
51499,Beyoncé
58959,Song Hae-sung
49850,Claudio Cupellini
62255,Ian Sharp
43200,Rocco Papaleo
40663,Josh Fox
55246,Max Winkler
44950,Adam Wingard
68212,George Mendeluk
58204,Sergio Castellitto
48748,Mikkel Nørgaard
40194,Hervé Renoh
54770,Masaaki Taniguchi
60604,Nobuhiro Doi
35074,Kevin O'Neill
49901,Marvin Kren
50652,Michael Feifer
43942,Rachel Grady
43942,Heidi Ewing
43942,Alex Gibney
43942,Seth Gordon
43942,Eugene Jarecki
43942,Morgan Spurlock
49261,Daniel Zirilli
101520,Neil Diamond
101520,Catherine Bainbridge
101520,Jeremiah Hayes
67509,Fabienne Berthaud
42507,Lee Jung-ho
49207,Tobias Lindholm
49207,Michael Noer
45523,Louis C.K.
57018,Yann Gozlan
45595,Julian Schnabel
73111,Patrice Pooyard
26187,Howard E. Baker
26187,Arish Fyzee
50056,Mac Carter
64882,Jang Yoo-jung
258514,Andrew Hutton
44155,Olivier Baroux
44224,Roel Reiné
41360,Sandy Collora
116983,Gabriel Bologna
45274,Alex Gibney
42675,Giovanni Veronesi
734286,Tōru Kamei
70110,Fred Olen Ray
44897,Nina Di Majo
60163,Yukihiko Tsutsumi
43609,Olivier Dahan
46788,Harmony Korine
70993,Christophe Honoré
48573,Andrucha Waddington
55692,Steve Martino
55692,Mike Thurmeier
51273,Anton Megerdichev
51462,Will Canon
109463,Huan Vu
55884,Hideyuki Hirayama
37234,Mat Whitecross
58764,Dome Karukoski
89495,Diego Velasco
56242,William Butler
88057,Jonathan Sobol
50158,Zabou Breitman
149091,Frédérik D'Amours
139406,John Alan Simon
41993,Edmond Pang Ho-Cheung
72914,Kurt Engfehr
72914,Joe Cross
45780,Gabriel Range
79073,Rob Cowan
51423,Pernilla August
48161,Erik Skjoldbjærg
62543,Irving Schwartz
43550,Julian Kemp
56672,Steve Trenbirth
149550,Jim Wynorski
41271,Marc Fitoussi
62077,Paco Cabezas
49679,Vipul Amrutlal Shah
62105,Fritz Manger
79168,Matias Lira
47607,Lena Dunham
63484,Hideo Nakata
45535,Michaël Youn
42918,Ben Steinbauer
54890,Kiran Rao
59419,Josh Shelov
58258,Jean-Paul Salomé
37941,Gautham Vasudev Menon
42151,Ben Wheatley
62638,Bigas Luna
41409,John Willis III
46967,Shannon Hartman
48018,Kanye West
75910,Lexi Alexander
150308,Harvey Frost
76706,John Murlowski
63430,Gautham Vasudev Menon
55006,Brad Watson
45814,Lim Woo-seong
31196,Gabriel Cowan
42548,James Kent
57186,Stevan Filipović
73101,Daniel Maldonado
65056,Michael J. Weithorn
52369,Franck Richard
29888,Mudassar Aziz
399199,Fred Olen Ray
309322,Hideki Oka
53256,Tom Tykwer
44565,Priyadarshan
47912,Leon Gast
58251,Benny Safdie
58251,Josh Safdie
42053,Pearry Reginald Teo
78059,Michael M. Scott
57209,Roman Karimov
56041,Lucio Pellegrini
44966,Katie Aselton
48798,Darcy Yuille
48798,Eric Kmetz
48798,Diana Valentine
48798,Warner Loughlin
48798,Lorraine Bracco
48798,Daisy Gili
31059,Gleb Orlov
130627,Pascal Han-Kwan
130627,Tristan Reinarz
130627,Fanny Roche
130627,Charlotte Boisson
130627,Julien Fourvel
73479,Tom Hines
49004,Chad Feehan
44160,Semih Kaplanoğlu
